[7.04608,122.72,-20.1373]	6502.236271	[-45.4683,-887.675,32.8323]
[6.64284,113.393,-19.6707]	6502.245387	[-37.8578,-884.086,58.4064]
[6.34354,104.528,-19.077]	6502.25455	[-28.8253,-872.957,69.216]
[6.13668,96.2214,-18.3305]	6502.263491	[-21.2184,-872.17,86.1586]
[6.00712,88.2852,-17.4563]	6502.272465	[-13.8882,-852.46,99.763]
[5.92965,80.7861,-16.41]	6502.281357	[-9.16993,-828.123,119.264]
[5.82326,73.6568,-15.1417]	6502.290494	[-12.1558,-777.434,140.447]
[5.62674,67.1031,-13.815]	6502.299654	[-21.8488,-724.87,142.427]
[5.28407,61.184,-12.4322]	6502.308656	[-37.7069,-678.157,147.074]
[4.72079,55.7738,-10.9081]	6502.317761	[-60.0633,-623.121,160.733]
[3.89535,51.0309,-9.33353]	6502.326555	[-89.7454,-573.33,168.83]
[2.75931,46.6853,-7.72542]	6502.335831	[-118.319,-504.212,166.803]
[1.31592,43.0314,-6.07641]	6502.344949	[-150.487,-439.926,170.941]
[-0.454259,40.0634,-4.36742]	6502.353785	[-187.648,-377.16,179.561]
[-2.55539,37.5806,-2.65401]	6502.362915	[-217.963,-309.542,176.374]
[-4.91711,35.7635,-1.00763]	6502.371738	[-249.708,-246.378,173.159]
[-7.58592,34.3936,0.585564]	6502.381043	[-273.391,-180.26,162.819]
[-10.5405,33.6708,2.09817]	6502.389976	[-310.404,-119.22,159.475]
[-13.8677,33.3998,3.56348]	6502.399021	[-350.332,-62.1721,154.755]
[-17.5465,33.5232,4.99553]	6502.40816	[-386.957,-14.547,151.275]
[-21.5396,34.0244,6.42926]	6502.4172	[-424.565,27.8364,153.424]
[-25.7926,34.8337,7.87542]	6502.426021	[-463.373,64.3313,158.584]
[-30.3191,35.8484,9.48609]	6502.435286	[-478.146,92.3543,170.212]
[-34.9732,37.0997,11.099]	6502.444297	[-498.527,115.508,173.951]
[-39.563,38.3398,11.847]	6502.453075	[-519.28,131.488,83.2549]
[-44.297,39.5929,12.681]	6502.462416	[-524.03,142.84,86.937]
[-48.9607,40.9685,14.2335]	6502.471168	[-534.358,151.178,182.912]
[-53.7318,42.369,16.0596]	6502.480413	[-520.675,147.74,204.885]
[-58.8932,43.9644,19.2972]	6502.489549	[-566.445,170.626,400.072]
[-63.1587,45.4899,21.2149]	6502.498539	[-446.821,152.872,119.648]
[-67.3895,47.1452,23.1503]	6502.50753	[-441.219,159.187,164.476]
[-71.4305,48.8746,24.9095]	6502.516338	[-426.083,163.488,156.662]
[-75.5364,50.9694,26.5666]	6502.525437	[-404.934,173.642,136.166]
[-79.2376,53.2284,27.7881]	6502.534429	[-367.695,197.29,82.4677]
[-82.4437,55.3956,28.7058]	6502.543424	[-320.961,199.761,62.3266]
[-85.1761,57.5082,29.2941]	6502.552549	[-273.291,202.494,29.1752]
[-87.3943,59.6191,29.5328]	6502.561546	[-231.133,208.669,-1.35802]
[-89.2921,61.7789,29.3836]	6502.570528	[-205.371,219.085,-42.9098]
[-90.7497,63.9856,28.8819]	6502.579537	[-162.691,226.186,-76.593]
[-93.0731,67.9916,27.6978]	6502.597657	[-109.412,236.778,-123.485]
[-92.71,70.7501,25.7728]	6502.606668	[-28.0642,250.417,-162.728]
[-92.1419,73.5539,23.7799]	6502.615792	[20.9934,268.137,-190.423]
[-91.2746,76.4359,21.6873]	6502.624927	[63.7652,284.159,-206.923]
[-90.1597,79.4296,19.4159]	6502.634053	[95.4864,301.76,-232.542]
[-88.7676,82.587,17.0441]	6502.643306	[126.123,318.871,-238.684]
[-87.1255,85.8404,14.6344]	6502.652431	[151.981,334.249,-241.263]
[-85.3415,89.2281,12.1735]	6502.661673	[169.621,348.475,-247.221]
[-83.3471,92.7164,9.74759]	6502.670925	[191.897,359.425,-241.977]
[-81.1329,96.2131,7.35405]	6502.680052	[216.63,364.51,-239.694]
[-78.8558,99.7355,5.02627]	6502.68918	[225.653,370.015,-235.796]
[-76.4484,103.295,2.7778]	6502.698418	[238.101,371.182,-226.222]
[-73.8698,106.768,0.621086]	6502.707553	[254.695,364.526,-216.686]
[-71.1465,110.078,-1.44849]	6502.716681	[269.548,348.51,-208.156]
[-68.3222,113.322,-3.38562]	6502.725921	[273.201,338.036,-191.891]
[-65.4149,116.29,-5.26925]	6502.734932	[284.528,316.785,-190.548]
[-62.4594,118.972,-7.01167]	6502.743902	[294.397,290.447,-179.356]
[-59.4293,121.389,-8.61949]	6502.753029	[299.84,260.316,-165.086]
[-56.3289,123.377,-10.182]	6502.76208	[308.826,218.947,-162.83]
[-53.1623,124.955,-11.5762]	6502.771076	[317.816,178.796,-147.542]
[-49.905,126.092,-13.1065]	6502.780178	[325.775,131.757,-161.09]
